APPROVED SYMBOL	ALIASES
KRT18P26	
ZNF126~WITHDRAWN	
RN7SL72P	
RN7SL727P	
KIF20B	MPP1, KRMP1, CT90
HSH2D	ALX, HSH2, FLJ14886
ACTRT3	ARPM1
TP53AIP1	P53AIP1
SIPA1	SPA1
ARMC1	FLJ10511, ARCP
GTF3BAP3~WITHDRAWN	
ST13P11	
FOXQ1	HFH1
ATP5F1P3	
ARFGEF1	DKFZP434L057, BIG1, ARFGEP1, P200
FIC1~WITHDRAWN	
SHQ1P1	
CYP4A22-AS1	NCRNA-A3
OR7E65~WITHDRAWN	
VN1R92P	
RN7SL806P	
ANKRD20A1	DKFZP434A171
OR2V1	OST265
TRNAK15	
PITPNM2	RDGBA2, RDGB2, NIR3
ATP5G1	
RPL21P78	
CLYBL-AS2	
RNU1-89P	
MTRNR2L2	
MIR5091	HSA-MIR-5091
SNORD113-7	14Q(I-7)
HMGA1P6	
AMY1A	
SH3GLB1	CGI-61, KIAA0491, BIF-1, PPP1R70
DNHD1	FLJ32752, FLJ46184, FLJ35709, DKFZP686J0796
RAD51AP2	FLJ17540
PSACH~WITHDRAWN	
H3F3C	H3.5
DNAH9	DNAHC9, KIAA0357, HL20, HL-20, DNAL1, DYH9
MIR642B	HSA-MIR-642B
ZNF383	FLJ35863
PGK1P2	
PCSK3~WITHDRAWN	
KLRF1	CLEC5C, NKP80
ZCCHC24	FLJ90798
VN1R35P	
NPM1	B23, NPM
RPS12P22	
DZIP1L	FLJ32844, DZIP2
INMT	
ALPPP	
RN7SKP214	
MRX31	
RN7SL487P	
LINC00564	
IGHV3@~WITHDRAWN	
DCAF8	H326, FLJ35857
TSNAX-DISC1	
TUBBP8	
SURF2	
SERPINB2	HST1201
VN1R44P	
DNAJB8	MGC33884
C19ORF81	
UBA52P8	
RPL23AP51	
KRT8P42	
SIAH2-AS1	
FAM32B	
GJA2~WITHDRAWN	
RPS18P10	
PSMB8	RING10, D6S216E, PSMB5I, BETA5I
RN7SKP179	
FRA10D	
STRA8	
RPL23AP33	
ARHGAP32	GRIT, KIAA0712, MGC1892, RICS, GC-GAP
LUZP4P1	
NPIPB7	LOC440350
NAPGP2	
TRIM60P2Y	TRIM60P2
BRSK1	KIAA1811
RNU6-450P	
TAS2R1	T2R1, TRB7
CD28LG2~WITHDRAWN	
DYX1C1	EKN1, FLJ37882
UBE2V1P7	
C7ORF71	
RBPJ	SUH, IGKJRB, RBPJK, KBF2, RBP-J, CBF1
TMTC2	DKFZP762A217
LINC01081	TCONS_00024764
KRT8P28	
BCRP5	
STOML3	SRO, EPB7.2L
RBS~WITHDRAWN	
BTF3	BTF3A, BTF3B
DISC1-IT1	
ASD1	
LIPH	MPA-PLA1, PLA1B, MPA-PLA1ALPHA, LPDLR
MTHSP1	
RNU6-321P	
TCHH	
ZFP106~WITHDRAWN	
EEF1A2	EEF1AL, HS1
GKP5~WITHDRAWN	
DPRXP4	
S100A8	P8, MRP8, 60B8AG, CGLA
SNX18P15	
FRMD4A	FLJ10210, KIAA1294, BA295P9.4
TMEM244	BA174C7.4
CTAG~WITHDRAWN	
RNA5SP92	
BLM	BS, RECQL3, RECQ2
MIR718	HSA-MIR-718
C6ORF180~WITHDRAWN	
YAP1	YAP65
ACOT4	FLJ31235, PTE-IB, PTE2B
IFNA1	IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-ALPHAD
TXNDC17	MGC14353, TRP14
OR4H11P~WITHDRAWN	
KAL1	KALIG-1, WFDC19
RUNX1T1	CDR, ETO, MTG8, ZMYND2
KIRREL-IT1	
SPIN2A	DXF34
HTR4	5-HT4
FMR1	FMRP, FRAXA, MGC87458
MIR676	HSA-MIR-676
FNL1~WITHDRAWN	
FAM132B	FLJ37034, CTRP15, C1QTNF15
LRIG2	KIAA0806
RNU6-1210P	
PIN4	PAR14, PAR17, EPVH
DYX5	
CCT5P2	
GRIK1	GLUK1
FAM7A5~WITHDRAWN	
PIRC103	
EXOGP1	
GPR89C	
RN7SL255P	
FAM47A	MGC27003
FAM93B~WITHDRAWN	
GRAMD4P5	
DNMT3B	
RNU1P3~WITHDRAWN	
RPS26P33	
DYNC1H1	DNCHC1, HL-3, P22, DHC1
RN7SL603P	
RWDD4	MGC10198
RPS20P16	
SCA34	
ASAH1	AC, PHP32, FLJ21558
OR10U1P	
RNU6-238P	
ELMOD2	MGC10084
MIR3908	HSA-MIR-3908
RBBP6	P2P-R, PACT, SNAMA
TSPEAR-AS1	
MBL1P	COLEC3P
ZNF674-AS1	
ZNF547	FLJ31100
RNASE6	
MSG1~WITHDRAWN	
OXCT1-AS1	
PWCR~WITHDRAWN	
GPR137B	
TMEM161A	FLJ39645, FLJ20422
PARVB	CGI-56
CRYZP1	
IGFBP7	MAC25, IGFBP-7, PSF, FSTL2
PCBP3-OT1	FLJ44028
RSPH1	FLJ32753, RSP44, RSPH10A
BST1	CD157
LINC00515	PRED21
HPE4~WITHDRAWN	
ZNF82~WITHDRAWN	
STK32A	MGC22688, YANK1
HCFC1-AS1	
IGHV1OR15-2	IGHV1/OR15-2
RNU6-374P	
ZNF598	FLJ00086
RPL37P10	
MAGEA8	MGC2182, CT1.8
AMD1	SAMDC
RNU6-586P	
UBTD1	FLJ11807
SCGN	SECRET, DJ501N12.8, SEGN, CALBL
CTD	
RNU7-79P	U7.79
MIR514B	HSA-MIR-514B
ARSG	KIAA1001
PDRG1	DJ310O13.3
MYNN	SBBIZ1, ZBTB31, ZNF902
FGF9	
C9ORF151~WITHDRAWN	
STRBP	FLJ11307, SPNR
TRNAV28	
ZFP36	RNF162A, TIS11, G0S24, TTP, NUP475, TRISTETRAPROLIN
RNU6-650P	
UROD	
RNU6-279P	
CICP24	
DFNB18~WITHDRAWN	
SEMA4G	FLJ20590, KIAA1619
TSSC6~WITHDRAWN	
ALS2CR17~WITHDRAWN	
RN7SKP274	
WWOX	FOR, WOX1, SDR41C1
DDX56	NOH61
ZNF454	FLJ37444
SLC27A3	FATP3, MGC4365, ACSVL3
RGP1	
GPR69B~WITHDRAWN	
VPS11	RNF108, PEP5
EEF1B2	
MBOAT7	BB1, HMBOA-7, LPIAT
NMRK2	MIBP, NRK2
PIK3CB	
NKD1	
OR5BC1P	
C1ORF112	FLJ10706
TPM3P9	
SNORA16B	U98B
MIR196A1	HSA-MIR-196-1, HSA-MIR-196A-1
TMED2	RNP24, P24A
TSNAX	TRAX
OR4A4P	
C8ORF60	FLJ12193
CT47A9	CT47.9
HNRNPFP1	
GJE1	CX23
ZBTB24	KIAA0441, BIF1, PATZ2
TRNAK6	
AIF1L	IBA2, FLJ12783
HABP4	IHABP4, SERBP1L
TUBA1A	TUBA3, B-ALPHA-1, FLJ25113
C1ORF28~WITHDRAWN	
OR11A2~WITHDRAWN	
RNU6-1074P	
MIEF2	MGC23130, MID49
POU5F1P5	OCT4-PG5
RPS12P21	
GRSF1	
RNA5SP229	
TLR2	TIL4, CD282
FAM102A	EEIG1, BA203J24.7, SYM-3A
INCENP	FLJ31633
OXCT2P1	
OR51H2P	
PRDX1	NKEFA
RNY3	HY3
MIR3180-2	HSA-MIR-3180-2
RN7SL321P	
KIAA0196	
RPP40P1	
STK24-AS1	
PHF21B	BHC80L, FLJ34161
FCGR2B	CD32, CD32B
RPL29P30	
OR5B9P~WITHDRAWN	
RMRPP4	
SAMD12-AS1	
HMGN2P32	
RBMX2	CGI-79
USP17L28	
GCNT1P2	
CATSPER4	
APC2	APCL
RNU6-634P	
CCDC142	FLJ14397
COL26A1	EMU2, EMI6
MTND6P9	
C2ORF53	MGC44505
ARL2BPP10	
RNU7-156P	
TACC2	AZU-1
RNU4-29P	
RPS14P9	
WDR43	KIAA0007, NET12, UTP5
RPL21P90	
OR2BH1P	
RPL21P38	
LINC00263	BA34D15.5, FLJ12974
ST13P3	FAM10A3P
KRTAP5-9	KRTAP5.9, KRTAP5-1
MIR2052	HSA-MIR-2052
ATG9B	FLJ14885, APG9L2, SONE
STPG2-AS1	
POP7	RPP20, RPP2
RNU6-588P	
ZNF587	ZF6, FLJ14710, UBF-FL, FLJ20813
RN7SL683P	
UHRF2	RNF107, NIRF, URF2, MGC33463
UMODL1	
ADIRF-AS1	
CHCHD10	N27C7-4
C17ORF74	
HLFP1	
NMS	
VPS4A	VPS4, VPS4-1, FLJ22197, SKD2, SKD1, SKD1A
CPETRL2~WITHDRAWN	
TSPY13P	
PHBP5	
LILRB5	LIR-8, LIR8, CD85C
UBC	
RNU6-966P	
POLRMT	H-MTRPOL, APOLMT, MTRNAP, MTRPOL
IL13	P600, IL-13, ALRH, BHR1, MGC116786, MGC116788, MGC116789
C14ORF93	FLJ12154
RNA5SP417	
ST13P5	
SHE	
CTHRC1	
TTTY2B	
RN7SL492P	
NARG2P2	
SPANXN1	SPANX-N1, CT11.6
RNVU1-2	VU1.2, RNU1-71
CMT4A~WITHDRAWN	
RPL29P18	
SPA17	SP17, CT22
ATP5A1P7	
ZNF304	
TPRKBP1	
OR4H6P	OR15-71, OR4H6, OR15-82, OR4H9, OR5-39, OR5-84, OR4-114, OR4-115, OR4-119, OR15-69, OR15-80, OR15-81, OR14-58
PCED1B	MGC16044
C1ORF200	
DDTL	
H1FX	MGC15959, MGC8350, H1X
ATP1A4	
RNVU1-14	VU1.14, RNU1-37
AIRN	AIR, NCRNA00088, IGF2RAS, IGF2R-AS1
ETM2	ETM
UNG	UDG, UNG1, UNG2, HIGM4
ZBTB41	FRBZ1, FLJ36199, DKFZP686C06120, ZNF924
SLC36A4	PAT4, FLJ38932
IL9RP3	
TRNAQ17	
DFNB69	
B4GALT3	BETA4GAL-T3
SLMO2	DJ543J19.5, PRELID3B
WHAMMP3	
ATP1A1OS	MGC16179
TCTA	
RN7SL690P	
ITGA2	CD49B
DRD3	
N4BP2L1	CG018
BCORP1	FLJ39821
DMKN	ZD52F10
SNORD115-15	HBII-52-15
SULT1A4	
ZNF595	FLJ31740
PIRC106	
CCAT1	
RMD1	
LINC00500	
NRTN	NTN
LRRC6	TSLRP, LRTP, CILD19
ERCC8	CSA
PALM	KIAA0270
OGFOD1	KIAA1612, FLJ10826, TPA1
PPP2R2B-IT1	
RAD51L3~WITHDRAWN	
GGT7	D20S101, DJ18C9.2
TFAP2A	AP-2
TRIM31	RNF, HCGI, C6ORF13, HCG1
TLCN~WITHDRAWN	
MIR4725	HSA-MIR-4725
BTF3P10	
FCER1G	
PRSS16	TSSP
DGKZP1	
PAQR5	FLJ20190, MPRG
RPL36AP27	
STIM1	GOK, D11S4896E
OARD1	MGC19570, DJ34B21.3, TARG1
S13~WITHDRAWN	
MORN5	FLJ46909
ARHGEF26	DKFZP434D146, SGEF
AFTPH	MGC33965, FLJ20080, FLJ23793, NBLA10388
MIR1914	HSA-MIR-1914
PTMAP4	
ZNF556	FLJ11637
FOXP1	QRF1, 12CC4, HSPC215, HFKH1B
PGAP1	FLJ12377, BST1
CTGF	IGFBP8, CCN2
UBQLN4P2	
AIED~WITHDRAWN	
PCDHB6	PCDH-BETA6
SLC32A1	VGAT, BA122O1.1
TMEM105	FLJ38792
ANKK1	X-KINASE
GPRASP1	GASP
PMS2P2	PMS4
C2ORF27AP1	
RN7SL831P	
FTSJ1	JM23, CDLIV, SPB1, TRM7, TRMT7
RNU2-56P	
SLC6A6	TAUT
OR5B1P	OR8-122, OR8-123, OR6-57, OR6-55, OR3-144, OR912-92
WIF1	
MIR7-3	HSA-MIR-7-3
RPL22P12	
RNU6ATAC30P	
RPL13AP25	
PIRC68	
KPNA3-IT1~WITHDRAWN	
RPL26P4	
DYX1	RD
GDNF-AS1	GDNFOS
TRMT1L	
CSNU3~WITHDRAWN	
MAPK7	BMK1, ERK5
SCYAR1~WITHDRAWN	
GUSBP12	
MIR4254	HSA-MIR-4254
CDT1	DUP, RIS2
MIR34C	HSA-MIR-34C
MIR1468	HSA-MIR-1468
APOC4-APOC2	
RPS15AP16	
MFAP2	MAGP, MAGP-1
TRNAL11	
LINC00960	
TMEM207	
DDX11L9	
MIR378E	HSA-MIR-378E
CELSR3	MEGF2, HFMI1, FMI1, CDHF11
FAM90A3P	
RPL29P20	
ATP11C	ATPIG, ATPIQ
SCARNA3	HBI-100
UNC79	
SNORD56B	
PRKAG3	
C1ORF147	FLJ32597
OR8I2	
MIR455	HSA-MIR-455
PLBD1	FLJ22662
RN7SL462P	
DPF3	CER-D4, CERD4, FLJ14079
LYRM5	
AR	AIS, NR3C4, SMAX1, HUMARA
ENSA	MGC4319, MGC8394, MGC78563, ARPP-19E
RN7SL47P	
HNRNPMP2	
HUR~WITHDRAWN	
TMEM219	
TMCO1	HP10122
TMED8	
TRNAE16	
CDSN	D6S586E
TUBB2BP1	
SNORD114-9	14Q(II-9)
DNAJC16	KIAA0962
OR7E121P	
COX5BP4	
ARHGAP9	MGC1295, 10C
POLR3KP2	
CNOT8	CAF1, HCAF1, CALIF
CYCSP5	HCP5
AOAH-IT1	
EML1	EMAP, HUEMAP, ELP79
TRAF3IP1	MIP-T3, DKFZP434F124, MIPT3
ZFP41	FLJ38705, FLJ00028, ZNF753
RPS29P7	
RGPD5	RGP5, BS-63, DKFZP686I1842
MRPS21P3	
OR2A24P~WITHDRAWN	
HDLBP	HBP
OR4M1	
HBBP1	
RNU6-442P	
PPAR~WITHDRAWN	
C11ORF96	AG2
MTX~WITHDRAWN	
ATAD3B	TOB3, KIAA1273
GREM1	DRM, GREMLIN, DAND2
SF3A2	SF3A66, SAP62, PRPF11, PRP11
RN7SL752P	
RNU6-596P	
GLUT4~WITHDRAWN	
RPA3	REPA3
MIR3141	HSA-MIR-3141
RN7SL867P	
SNX18P26	
SNRNP40	PRP8BP, SPF38, PRPF8BP, HPRP8BP
RNU1-17P	
PSMD14	POH1, PAD1, RPN11
TSC3~WITHDRAWN	
C12ORF66	FLJ32549
NOM1	SGD1
CHCHD4P4	
GTPBP1	GP-1, HSPC018
HNRNPDLP2	
RN7SKP32	
LSMEM1	FLJ39575
YBX1P8	
DNM1DN6~WITHDRAWN	
ROBO2P1	
HRAS	
HSPA8P1	
EDH17B1~WITHDRAWN	
ALK	CD246
HOXC@	
LHX1	LIM-1, LIM1
FAM216B	FLJ40919
KRT125P	
MIR299	HSA-MIR-299
KRT121P	HBD
NEUROD4	ATOH3, ATH-3, MATH-3, BHLHA4
RPL22P7	
JAM2	VE-JAM, JAM-B, JAMB, CD322
RN7SKP162	
WDR70	FLJ10233
MIR3180-1	HSA-MIR-3180-1
BRCA1P1	LBRCA1, PSIBRCA1, PSEUDO-BRCA1
MTND1P33	
FAR1	FLJ22728, SDR10E1
RNU6-496P	
RNA5SP110	
HIGD1AP16	
RNU6ATAC14P	
IGBP1P5	
KRT18P68	
NEK4P3	
PI5~WITHDRAWN	
FAM138A	F379
LINC00266-3	DJ24O22.2
RNA5SP97	
VN1R101P	
MIR1253	HSA-MIR-1253
LRRC20	FLJ10751, FLJ10844
CALB2	CAL2
PDILT	PDIA7
ANG	RNASE5
GAPDHP67	
TTTY27P	
